"","harass5","emailmin","emailhr","educ","polviews","advfront","snapchat","instagrm","wrkstat"
"689","No",NA,NA,14,NA,NA,"No","No","Working fulltime"
"690","No",NA,NA,12,"Liberal",NA,NA,NA,"Working fulltime"
"691",NA,0,8,12,"Conservative","Agree",NA,NA,"Working fulltime"
"692","No",NA,NA,9,"Extremely liberal",NA,NA,NA,"Retired"
"693",NA,0,0,11,"Moderate","Disagree",NA,NA,"Working fulltime"
"694",NA,0,0,9,"Moderate","Agree",NA,NA,"Keeping house"
"695","No",NA,NA,12,"Extremely liberal",NA,NA,NA,"Working parttime"
"696","Yes",NA,NA,13,"Liberal",NA,"No","No","Working fulltime"
"697","No",0,1,7,"Slghtly conservative",NA,"No","No","Working fulltime"
"698",NA,0,1,12,"Moderate","Agree","No","No","Working fulltime"
"699",NA,NA,NA,5,NA,"Agree",NA,NA,"Working parttime"
"700","No",NA,NA,13,"Slghtly conservative",NA,"No","Yes","Working fulltime"
"701","Yes",0,7,11,"Moderate",NA,"No","No","Working fulltime"
"702",NA,0,5,15,"Moderate","Agree",NA,NA,"School"
"703",NA,0,4,16,"Moderate","Strongly agree",NA,NA,"School"
"704",NA,30,0,12,"Moderate","Agree",NA,NA,"Retired"
"705",NA,0,21,16,"Slghtly conservative","Agree","No","No","Working fulltime"
"706","No",0,10,19,"Slghtly conservative",NA,"No","No","Working fulltime"
"707","Yes",NA,NA,12,"Slghtly conservative",NA,NA,NA,"Working fulltime"
"708","No",NA,NA,9,"Moderate",NA,"No","No","Working fulltime"
"709",NA,0,5,12,"Moderate","Agree",NA,NA,"Working fulltime"
"710",NA,0,0,6,NA,"Agree",NA,NA,"Keeping house"
"711","No",NA,NA,12,"Slightly liberal",NA,NA,NA,"Working fulltime"
"712","No",NA,NA,18,"Liberal",NA,NA,NA,"Working fulltime"
"713",NA,0,2,16,"Liberal","Agree",NA,NA,"Working fulltime"
"714","No",NA,NA,0,NA,NA,NA,NA,"Working fulltime"
"715",NA,0,1,12,"Liberal","Agree","Yes","Yes","Keeping house"
"716",NA,0,2,6,"Extrmly conservative","Agree",NA,NA,"Working fulltime"
"717","No",NA,NA,12,"Extremely liberal",NA,NA,NA,"Keeping house"
"718","No",0,0,12,"Moderate",NA,"No","No","Keeping house"
"719",NA,0,20,14,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"720",NA,NA,NA,12,NA,"Strongly disagree",NA,NA,"Keeping house"
"721",NA,0,8,17,"Liberal","Strongly agree",NA,NA,"Working fulltime"
"722","No",NA,NA,14,"Slightly liberal",NA,"No","No","Working fulltime"
"723",NA,NA,NA,12,"Conservative","Strongly agree",NA,NA,"Keeping house"
"724","Yes",NA,NA,12,"Extremely liberal",NA,NA,NA,"Working parttime"
"725",NA,NA,NA,12,"Conservative","Disagree",NA,NA,"Retired"
"726","Yes",0,8,14,"Extremely liberal",NA,NA,NA,"Working fulltime"
"727","No",NA,NA,6,NA,NA,NA,NA,"Working parttime"
"728","No",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"729",NA,0,1,16,"Slightly liberal","Agree",NA,NA,"Unempl, laid off"
"730",NA,0,2,14,"Moderate","Agree",NA,NA,"Retired"
"731","Yes",15,20,13,"Moderate",NA,"No","Yes","Working parttime"
"732","No",NA,NA,14,"Extremely liberal",NA,"No","No","Keeping house"
"733","Yes",NA,NA,14,"Extrmly conservative",NA,"No","Yes","Keeping house"
"734",NA,0,5,15,"Moderate","Strongly agree","Yes","Yes","Working fulltime"
"735","Yes",NA,NA,15,"Slghtly conservative",NA,"No","No","Temp not working"
"736","No",0,1,14,"Conservative",NA,NA,NA,"Working fulltime"
"737",NA,0,10,16,"Slightly liberal","Agree","No","No","Working fulltime"
"738","Does not apply (i do not have a job/superior/co-worker)",NA,NA,20,"Moderate",NA,NA,NA,"Retired"
"739",NA,0,0,13,"Conservative","Agree",NA,NA,"Keeping house"
"740","No",NA,NA,16,"Conservative",NA,"Yes","No","Working fulltime"
"741",NA,0,2,12,"Conservative","Agree",NA,NA,"Working fulltime"
"742",NA,0,6,13,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"743","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Moderate",NA,"Yes","No","Retired"
"744","No",30,1,13,"Slightly liberal",NA,"Yes","No","Keeping house"
"745",NA,0,6,6,"Liberal","Disagree",NA,NA,"Working parttime"
"746","Yes",NA,NA,15,"Extremely liberal",NA,"No","No","Working parttime"
"747",NA,0,2,16,"Extremely liberal","Strongly agree",NA,NA,"Working fulltime"
"748","No",NA,NA,15,"Moderate",NA,"Yes","Yes","Working fulltime"
"749",NA,0,1,18,"Moderate","Strongly agree","No","No","Working fulltime"
"750","No",0,45,16,"Liberal",NA,"Yes","Yes","Working fulltime"
"751","Yes",NA,NA,14,"Slghtly conservative",NA,NA,NA,"Working fulltime"
"752","No",0,5,14,"Moderate",NA,"No","Yes","Working fulltime"
"753","No",0,1,14,"Conservative",NA,NA,NA,"Working parttime"
"754","No",NA,NA,18,"Liberal",NA,NA,NA,"Retired"
"755",NA,NA,NA,10,"Extrmly conservative","Dont know","No","No","Working parttime"
"756",NA,NA,NA,11,"Slightly liberal","Agree",NA,NA,"Other"
"757","No",NA,NA,16,"Conservative",NA,"No","No","Working fulltime"
"758",NA,0,22,14,"Extremely liberal","Strongly agree",NA,NA,"Working fulltime"
"759","No",NA,NA,12,"Slghtly conservative",NA,"No","No","Working fulltime"
"760",NA,0,1,14,"Liberal","Strongly agree",NA,NA,"Working fulltime"
"761",NA,0,2,11,"Liberal","Strongly agree","No","No","Keeping house"
"762",NA,0,2,13,"Slghtly conservative","Agree",NA,NA,"Retired"
"763",NA,NA,NA,14,"Liberal","Disagree",NA,NA,"Working fulltime"
"764","No",NA,NA,8,"Slightly liberal",NA,NA,NA,"Working fulltime"
"765",NA,0,0,12,"Moderate","Disagree","No","No","Keeping house"
"766","No",NA,NA,12,"Moderate",NA,"No","Yes","Working fulltime"
"767","No",0,1,13,"Liberal",NA,"Yes","Yes","School"
"768",NA,0,4,12,"Slghtly conservative","Disagree","Yes","Yes","Working parttime"
"769","Yes",NA,NA,12,"Conservative",NA,"No","No","Working fulltime"
"770",NA,0,20,15,"Slightly liberal","Agree",NA,NA,"Working fulltime"
"771","No",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"772","No",NA,NA,13,"Slghtly conservative",NA,NA,NA,"Retired"
"773",NA,0,20,13,"Moderate","Agree",NA,NA,"Working fulltime"
"774",NA,0,2,14,"Moderate","Agree",NA,NA,"Working fulltime"
"775","No",NA,NA,12,"Moderate",NA,"No","No","Working parttime"
"776","Does not apply (i do not have a job/superior/co-worker)",0,0,13,"Slightly liberal",NA,"Yes","No","Retired"
"777","No",NA,NA,12,"Slightly liberal",NA,"No","No","Other"
"778",NA,0,1,16,"Moderate","Disagree","No","Yes","Working fulltime"
"779",NA,NA,NA,12,"Conservative","Strongly agree",NA,NA,"Working fulltime"
"780","No",NA,NA,12,"Moderate",NA,NA,NA,"Keeping house"
"781","No",NA,NA,13,"Slightly liberal",NA,"No","No","School"
"782","Yes",0,3,11,"Slghtly conservative",NA,NA,NA,"Working fulltime"
"783",NA,0,0,13,"Moderate","Agree",NA,NA,"Retired"
"784","No",0,20,17,"Moderate",NA,"No","No","Working fulltime"
"785","No",30,1,12,"Liberal",NA,NA,NA,"Working fulltime"
"786",NA,0,70,14,NA,"Agree",NA,NA,"Working fulltime"
"787","No",NA,NA,12,"Conservative",NA,NA,NA,"Other"
"788",NA,0,20,13,"Moderate","Disagree",NA,NA,"Working fulltime"
"789","No",NA,NA,12,"Moderate",NA,NA,NA,"Working fulltime"
"790","No",0,3,12,"Moderate",NA,"No","Yes","Working fulltime"
"791",NA,NA,NA,18,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"792",NA,2,0,11,"Moderate","Agree","No","Yes","School"
"793",NA,0,0,8,"Moderate","Agree","Yes","Yes","Unempl, laid off"
"794","No",NA,NA,14,"Slightly liberal",NA,"No","No","School"
"795",NA,0,1,14,NA,"Agree",NA,NA,"Working parttime"
"796",NA,25,0,12,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"797","No",NA,NA,12,"Conservative",NA,"No","Yes","Working fulltime"
"798",NA,0,1,16,"Moderate","Agree","No","No","Working parttime"
"799",NA,NA,NA,17,"Extremely liberal","Strongly disagree",NA,NA,"Other"
"800",NA,0,1,16,"Moderate","Agree",NA,NA,"Retired"
"801","No",NA,NA,16,"Moderate",NA,"Yes","Yes","Working fulltime"
"802",NA,0,4,12,"Liberal","Strongly agree",NA,NA,"Retired"
"803",NA,0,3,14,"Liberal","Agree","Yes","Yes","Working parttime"
"804",NA,30,0,12,"Conservative","Agree",NA,NA,"Working fulltime"
"805",NA,0,1,16,"Slghtly conservative","Agree",NA,NA,"Retired"
"806",NA,0,0,12,"Slghtly conservative","Strongly agree",NA,NA,"Retired"
"807",NA,0,50,16,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"808",NA,10,1,12,"Slightly liberal","Strongly agree","No","No","Unempl, laid off"
"809",NA,0,1,19,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"810","No",NA,NA,16,"Moderate",NA,"Yes","Yes","Keeping house"
"811",NA,0,5,12,"Slightly liberal","Agree","Yes","Yes","School"
"812",NA,0,20,17,"Extremely liberal","Strongly agree",NA,NA,"Working fulltime"
"813","No",NA,NA,16,"Moderate",NA,"Yes","Yes","Working fulltime"
"814",NA,0,20,16,"Slightly liberal","Strongly agree","No","No","Working fulltime"
"815","No",NA,NA,16,"Conservative",NA,NA,NA,"Keeping house"
"816","No",0,2,12,"Moderate",NA,NA,NA,"Working fulltime"
"817",NA,0,0,16,"Conservative","Disagree",NA,NA,"Retired"
"818",NA,0,6,12,"Liberal","Agree",NA,NA,"Retired"
"819","No",NA,NA,16,"Moderate",NA,NA,NA,"Other"
"820",NA,0,10,14,"Conservative","Agree",NA,NA,"Working fulltime"
"821","Yes",NA,NA,14,"Extremely liberal",NA,"No","Yes","Working fulltime"
"822",NA,0,14,16,"Slightly liberal","Strongly agree",NA,NA,"Retired"
"823","No",NA,NA,5,NA,NA,NA,NA,"Keeping house"
"824","No",NA,NA,18,"Moderate",NA,"Yes","Yes","Working fulltime"
"825",NA,0,8,16,"Slightly liberal","Agree","No","No","Working fulltime"
"826","No",NA,NA,13,"Moderate",NA,"Yes","No","Unempl, laid off"
"827","Yes",0,1,16,"Conservative",NA,NA,NA,"Working fulltime"
"828",NA,20,0,11,NA,"Disagree",NA,NA,"Working fulltime"
"829","No",NA,NA,14,NA,NA,"No","Yes","Working fulltime"
"830",NA,30,1,12,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"831","No",NA,NA,16,"Liberal",NA,"No","No","Working fulltime"
"832","No",NA,NA,20,"Slghtly conservative",NA,"No","No","Working fulltime"
"833",NA,0,0,12,"Liberal","Agree",NA,NA,"Retired"
"834","No",NA,NA,16,"Conservative",NA,"No","No","Working fulltime"
"835","Yes",0,30,18,"Conservative",NA,"No","Yes","Working fulltime"
"836",NA,0,2,18,"Slghtly conservative","Agree",NA,NA,"Working parttime"
"837","No",NA,NA,16,"Moderate",NA,"No","No","Keeping house"
"838","No",NA,NA,12,"Liberal",NA,"No","No","Working fulltime"
"839","No",NA,NA,14,"Liberal",NA,NA,NA,"Unempl, laid off"
"840",NA,0,5,12,"Slightly liberal","Strongly agree",NA,NA,"Unempl, laid off"
"841","No",NA,NA,18,"Moderate",NA,"No","No","Working fulltime"
"842","No",NA,NA,12,"Moderate",NA,NA,NA,"Keeping house"
"843","No",NA,NA,12,"Slightly liberal",NA,"No","Yes","Retired"
"844",NA,0,1,12,"Extrmly conservative","Disagree","No","No","Working parttime"
"845",NA,20,0,12,"Moderate","Agree",NA,NA,"Retired"
"846","No",0,6,14,"Slightly liberal",NA,"Yes","Yes","Working fulltime"
"847",NA,0,40,15,"Moderate","Agree",NA,NA,"Working fulltime"
"848","No",NA,NA,12,"Moderate",NA,"No","No","Working fulltime"
"849","Yes",0,50,16,"Moderate",NA,"No","No","Working fulltime"
"850",NA,0,3,16,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"851",NA,NA,NA,8,"Moderate","Agree",NA,NA,"Unempl, laid off"
"852",NA,0,10,16,"Slightly liberal","Strongly agree","Yes","Yes","Working fulltime"
"853",NA,0,0,12,"Moderate","Agree",NA,NA,"Keeping house"
"854","No",NA,NA,12,NA,NA,NA,NA,"Working parttime"
"855","Yes",40,0,12,"Slightly liberal",NA,"No","Yes","Working fulltime"
"856","No",NA,NA,11,"Moderate",NA,"No","No","Retired"
"857",NA,30,0,12,"Moderate","Agree",NA,NA,"Retired"
"858","No",NA,NA,17,"Liberal",NA,"Yes","Yes","Working fulltime"
"859",NA,0,15,18,"Moderate","Agree",NA,NA,"Working fulltime"
"860","No",NA,NA,13,"Slghtly conservative",NA,"No","No","Working fulltime"
"861","No",0,10,13,"Slightly liberal",NA,"No","No","School"
"862",NA,NA,NA,12,"Moderate","Agree",NA,NA,"Retired"
"863","No",NA,NA,16,"Slghtly conservative",NA,"No","No","Working fulltime"
"864",NA,0,1,16,"Liberal","Strongly agree","No","Yes","Unempl, laid off"
"865",NA,15,0,14,"Moderate","Strongly agree",NA,NA,"Retired"
"866","Yes",NA,NA,16,"Moderate",NA,NA,NA,"Working fulltime"
"867",NA,0,0,15,"Slightly liberal","Agree",NA,NA,"Working fulltime"
"868","No",NA,NA,18,"Moderate",NA,"No","No","Working fulltime"
"869",NA,NA,NA,13,"Conservative","Dont know",NA,NA,"Retired"
"870","No",NA,NA,16,"Moderate",NA,"No","Yes","Working fulltime"
"871","Does not apply (i do not have a job/superior/co-worker)",0,5,18,"Moderate",NA,"No","No","Retired"
"872",NA,0,0,12,"Moderate","Strongly agree","No","No","Retired"
"873",NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"874","No",NA,NA,9,"Slightly liberal",NA,"No","No","Retired"
"875","No",0,20,13,"Moderate",NA,NA,NA,"Working fulltime"
"876",NA,NA,NA,15,"Slghtly conservative","Strongly agree",NA,NA,"Other"
"877","Does not apply (i do not have a job/superior/co-worker)",NA,NA,13,"Slghtly conservative",NA,NA,NA,"Retired"
"878","No",30,0,19,"Moderate",NA,"No","No","Retired"
"879",NA,0,2,17,"Liberal","Agree",NA,NA,"Retired"
"880",NA,0,0,13,"Moderate","Strongly agree",NA,NA,"Working parttime"
"881",NA,0,20,17,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"882","No",45,0,16,"Liberal",NA,"No","No","Working parttime"
"883",NA,0,15,16,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"884","Yes",NA,NA,15,"Slghtly conservative",NA,"Yes","Yes","Working fulltime"
"885",NA,0,25,16,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"886","No",NA,NA,20,"Slghtly conservative",NA,"No","No","Temp not working"
"887",NA,0,8,14,"Slightly liberal","Disagree",NA,NA,"Working fulltime"
"888","No",NA,NA,16,"Liberal",NA,"No","No","Working fulltime"
"889","No",0,25,15,"Moderate",NA,"No","No","Working parttime"
"890",NA,0,5,14,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"891",NA,0,2,12,"Slghtly conservative","Agree","No","Yes","Working fulltime"
"892","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"893",NA,0,1,15,"Slightly liberal","Agree",NA,NA,"Retired"
"894","Does not apply (i do not have a job/superior/co-worker)",NA,NA,20,"Moderate",NA,"No","No","Retired"
"895",NA,30,0,16,"Slghtly conservative","Agree",NA,NA,"Retired"
"896",NA,NA,NA,12,"Conservative","Agree",NA,NA,"Retired"
"897","No",NA,NA,12,"Slightly liberal",NA,NA,NA,"Retired"
"898",NA,0,4,14,"Conservative","Dont know","No","No","Keeping house"
"899","No",10,0,14,"Liberal",NA,"No","No","Working parttime"
"900","No",0,10,18,"Liberal",NA,NA,NA,"Working fulltime"
"901",NA,0,10,16,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"902",NA,NA,NA,8,"Liberal","Agree",NA,NA,"Retired"
"903",NA,0,12,13,"Moderate","Agree",NA,NA,"Working parttime"
"904","Yes",NA,NA,13,"Moderate",NA,"Yes","No","Working fulltime"
"905","Yes",0,0,13,"Slightly liberal",NA,"No","No","School"
"906",NA,0,2,10,"Liberal","Disagree","No","No","Other"
"907",NA,0,1,11,"Moderate","Agree",NA,NA,"Retired"
"908","No",0,10,12,"Moderate",NA,"No","No","Working fulltime"
"909","Yes",NA,NA,12,"Moderate",NA,"No","No","Working fulltime"
"910",NA,NA,NA,9,"Moderate","Disagree",NA,NA,"Retired"
"911","No",NA,NA,10,"Moderate",NA,"No","No","Retired"
"912","No",0,1,16,"Conservative",NA,"Yes","Yes","Temp not working"
"913",NA,0,2,13,"Conservative","Strongly agree",NA,NA,"Working parttime"
"914",NA,0,0,17,"Moderate","Agree","No","No","Working fulltime"
"915","Yes",0,3,20,"Liberal",NA,"No","No","Keeping house"
"916","No",NA,NA,12,"Moderate",NA,NA,NA,"Working fulltime"
"917",NA,0,1,12,"Slghtly conservative","Agree",NA,NA,"Keeping house"
"918","No",NA,NA,13,"Moderate",NA,"No","No","Working fulltime"
"919","No",NA,NA,14,"Slightly liberal",NA,"No","Yes","Keeping house"
"920",NA,0,5,18,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"921","Yes",NA,NA,12,"Moderate",NA,"No","No","Working fulltime"
"922",NA,0,1,12,"Slightly liberal","Agree","No","Yes","Keeping house"
"923",NA,0,20,17,"Slghtly conservative","Strongly agree",NA,NA,"Retired"
"924","No",10,1,16,"Slightly liberal",NA,"No","No","Working fulltime"
"925",NA,0,5,12,"Moderate","Agree",NA,NA,"School"
"926",NA,0,20,12,"Conservative","Agree",NA,NA,"Working fulltime"
"927","No",NA,NA,14,"Extremely liberal",NA,"Yes","No","Working fulltime"
"928","No",NA,NA,12,"Conservative",NA,"No","No","Working fulltime"
"929",NA,0,0,13,"Moderate","Agree",NA,NA,"Working fulltime"
"930","No",0,30,20,"Liberal",NA,"No","No","Working fulltime"
"931","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"932",NA,0,1,11,"Liberal","Strongly agree","Yes","Yes","Working parttime"
"933","No",NA,NA,9,"Moderate",NA,"No","No","Keeping house"
"934",NA,0,0,12,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"935","No",NA,NA,9,"Liberal",NA,NA,NA,"Other"
"936",NA,0,0,13,"Moderate","Strongly agree",NA,NA,"Keeping house"
"937","No",NA,NA,12,"Moderate",NA,NA,NA,"Working fulltime"
"938",NA,0,30,17,"Moderate","Agree",NA,NA,"Working fulltime"
"939",NA,0,10,18,"Moderate","Agree",NA,NA,"Working fulltime"
"940",NA,0,7,17,"Slghtly conservative","Disagree",NA,NA,"Working fulltime"
"941",NA,0,40,17,NA,"Strongly agree",NA,NA,"Working fulltime"
"942","No",0,1,14,"Moderate",NA,NA,NA,"Working fulltime"
"943","Yes",NA,NA,16,"Liberal",NA,"No","No","Retired"
"944","No",0,1,16,"Moderate",NA,"No","No","Working fulltime"
"945","No",NA,NA,13,"Slghtly conservative",NA,NA,NA,"Working parttime"
"946",NA,NA,NA,10,"Extrmly conservative","Strongly agree",NA,NA,"Keeping house"
"947","No",NA,NA,12,"Moderate",NA,NA,NA,"Other"
"948","No",NA,NA,14,"Liberal",NA,"No","No","Working fulltime"
"949",NA,0,40,14,NA,"Agree",NA,NA,"Working fulltime"
"950","No",NA,NA,8,"Liberal",NA,NA,NA,"Keeping house"
"951","No",NA,NA,13,"Moderate",NA,NA,NA,"Working parttime"
"952",NA,0,35,12,NA,"Disagree",NA,NA,"Keeping house"
"953","No",NA,NA,16,"Slightly liberal",NA,"No","No","Working fulltime"
"954",NA,0,2,14,"Moderate","Agree",NA,NA,"Working fulltime"
"955","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Liberal",NA,NA,NA,"Retired"
"956",NA,NA,NA,12,"Liberal","Disagree",NA,NA,"Other"
"957",NA,NA,NA,12,"Liberal","Agree",NA,NA,"Working parttime"
"958","No",NA,NA,12,NA,NA,"No","No","Unempl, laid off"
"959","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Extrmly conservative",NA,NA,NA,"Keeping house"
"960",NA,NA,NA,12,NA,"Agree",NA,NA,"Other"
"961","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Moderate",NA,NA,NA,"Unempl, laid off"
"962",NA,0,2,12,"Moderate","Agree",NA,NA,"Working fulltime"
"963","No",0,0,12,"Liberal",NA,NA,NA,"Keeping house"
"964",NA,0,1,12,"Moderate","Disagree",NA,NA,"Working parttime"
"965","Yes",NA,NA,12,"Slightly liberal",NA,NA,NA,"Other"
"966",NA,0,0,12,"Moderate","Strongly agree",NA,NA,"Working parttime"
"967",NA,30,0,16,"Conservative","Agree",NA,NA,"Working fulltime"
"968","No",30,0,15,"Slghtly conservative",NA,NA,NA,"Working fulltime"
"969","No",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"970",NA,30,0,14,"Moderate","Strongly agree",NA,NA,"Keeping house"
"971","Yes",NA,NA,15,"Liberal",NA,NA,NA,"Keeping house"
"972","Does not apply (i do not have a job/superior/co-worker)",NA,NA,10,"Conservative",NA,NA,NA,"Unempl, laid off"
"973",NA,NA,NA,12,NA,NA,NA,NA,"Keeping house"
"974","No",0,1,19,"Moderate",NA,"No","No","Working fulltime"
"975",NA,0,1,13,"Moderate","Strongly agree",NA,NA,"Working parttime"
"976","Yes",NA,NA,14,"Slightly liberal",NA,"No","No","Working fulltime"
"977",NA,0,3,12,"Moderate","Agree","Yes","No","Working parttime"
"978",NA,NA,NA,16,"Extrmly conservative","Strongly agree",NA,NA,"Working parttime"
"979",NA,NA,NA,12,"Slghtly conservative","Disagree",NA,NA,"Keeping house"
"980",NA,0,12,12,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"981","Yes",30,0,14,"Slghtly conservative",NA,NA,NA,"Working parttime"
"982","No",NA,NA,19,"Liberal",NA,"No","Yes","Working fulltime"
"983",NA,0,5,16,"Liberal","Strongly agree","No","No","Working fulltime"
"984","No",NA,NA,12,"Moderate",NA,NA,NA,"Unempl, laid off"
"985",NA,0,30,13,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"986","No",NA,NA,13,"Moderate",NA,"No","No","Unempl, laid off"
"987","No",NA,NA,16,"Moderate",NA,"No","Yes","Working fulltime"
"988","No",NA,NA,14,"Liberal",NA,"No","No","Retired"
"989",NA,30,0,12,"Moderate","Disagree",NA,NA,"Unempl, laid off"
"990","Yes",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"991","Does not apply (i do not have a job/superior/co-worker)",NA,NA,6,"Moderate",NA,NA,NA,"Retired"
"992",NA,0,3,11,"Slightly liberal","Agree",NA,NA,"Working fulltime"
"993","No",0,3,12,"Conservative",NA,NA,NA,"Retired"
"994",NA,0,30,12,"Moderate","Agree",NA,NA,"Working fulltime"
"995","No",NA,NA,16,"Conservative",NA,"Yes","Yes","Keeping house"
"996",NA,0,15,17,NA,"Agree","Yes","Yes","Unempl, laid off"
"997",NA,0,10,17,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"998",NA,0,4,12,"Moderate","Agree",NA,NA,"Unempl, laid off"
"999","Yes",NA,NA,8,"Moderate",NA,NA,NA,"Working fulltime"
"1000",NA,0,4,12,"Moderate","Agree",NA,NA,"Retired"
"1001","No",NA,NA,14,"Slightly liberal",NA,"No","Yes","Working fulltime"
"1002",NA,0,0,16,"Conservative","Agree",NA,NA,"Retired"
"1003","Yes",0,1,12,"Slghtly conservative",NA,"No","No","Working fulltime"
"1004",NA,30,0,20,"Moderate","Agree",NA,NA,"Working fulltime"
"1005",NA,0,1,16,"Conservative","Agree","No","No","Working fulltime"
"1006",NA,0,6,18,"Liberal","Agree",NA,NA,"Retired"
"1007","No",NA,NA,17,"Slghtly conservative",NA,"No","No","Working parttime"
"1008","Yes",0,15,19,"Liberal",NA,"No","No","Working fulltime"
"1009",NA,0,1,11,"Extremely liberal","Agree",NA,NA,"Working fulltime"
"1010",NA,0,5,20,"Liberal","Agree","No","No","Temp not working"
"1011",NA,0,1,16,"Moderate","Disagree",NA,NA,"Unempl, laid off"
"1012","No",NA,NA,12,"Liberal",NA,"Yes","Yes","Working parttime"
"1013","Yes",0,2,15,"Moderate",NA,"No","No","Working fulltime"
"1014",NA,0,15,16,"Slghtly conservative","Strongly agree",NA,NA,"Temp not working"
"1015","No",NA,NA,12,"Conservative",NA,"No","No","Unempl, laid off"
"1016","No",0,4,15,"Slghtly conservative",NA,"No","No","Working fulltime"
"1017",NA,0,47,12,"Slightly liberal","Strongly agree",NA,NA,"Working fulltime"
"1018","No",NA,NA,12,"Moderate",NA,"Yes","Yes","Working fulltime"
"1019",NA,0,40,10,"Moderate","Disagree","Yes","No","Working fulltime"
"1020","No",NA,NA,18,"Extremely liberal",NA,"No","No","Working parttime"
"1021","Yes",0,8,17,"Slghtly conservative",NA,"No","No","Working fulltime"
"1022",NA,30,0,14,"Moderate","Strongly agree","Yes","Yes","Working parttime"
"1023",NA,30,1,14,NA,"Agree",NA,NA,"Working fulltime"
"1024","No",NA,NA,17,"Moderate",NA,"No","No","Working parttime"
"1025","No",0,12,19,"Conservative",NA,"Yes","No","Working fulltime"
"1026",NA,0,8,18,"Extremely liberal","Strongly agree",NA,NA,"Unempl, laid off"
"1027",NA,0,20,17,"Liberal","Agree","No","No","Working fulltime"
"1028",NA,0,1,16,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"1029","No",0,2,16,"Extremely liberal",NA,"No","Yes","Working parttime"
"1030","No",NA,NA,20,"Slghtly conservative",NA,"No","No","Working fulltime"
"1031",NA,0,10,20,"Slightly liberal","Agree","No","No","Working fulltime"
"1032","No",0,15,13,"Moderate",NA,"No","No","Retired"
"1033",NA,0,20,18,"Slghtly conservative","Strongly agree","No","Yes","Working fulltime"
"1034",NA,0,15,16,"Moderate","Agree",NA,NA,"Working fulltime"
"1035","Yes",NA,NA,17,"Extremely liberal",NA,NA,NA,"Working fulltime"
"1036",NA,0,10,17,"Moderate","Strongly agree","Yes","Yes","Working fulltime"
"1037","No",NA,NA,19,"Liberal",NA,"No","Yes","Working parttime"
"1038","Yes",0,5,16,"Liberal",NA,"No","No","Working fulltime"
"1039",NA,0,1,16,"Liberal","Agree",NA,NA,"Working fulltime"
"1040",NA,0,1,20,"Liberal","Agree",NA,NA,"Retired"
"1041","No",0,2,13,"Liberal",NA,"Yes","No","Working parttime"
"1042",NA,0,2,12,"Extrmly conservative","Disagree",NA,NA,"Working fulltime"
"1043",NA,0,2,16,"Moderate","Strongly agree","No","No","Retired"
"1044","No",NA,NA,12,"Moderate",NA,"Yes","No","Working parttime"
"1045",NA,0,15,16,"Conservative","Agree",NA,NA,"Working fulltime"
"1046","Yes",NA,NA,14,"Conservative",NA,NA,NA,"Working fulltime"
"1047",NA,30,1,16,"Slightly liberal","Disagree",NA,NA,"Working fulltime"
"1048","No",30,8,19,"Moderate",NA,"No","No","Working fulltime"
"1049",NA,0,1,16,"Moderate","Agree",NA,NA,"Retired"
"1050","No",NA,NA,16,"Slightly liberal",NA,"No","Yes","Working fulltime"
"1051","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"1052",NA,0,17,17,"Extremely liberal","Strongly agree",NA,NA,"Working parttime"
"1053","Does not apply (i do not have a job/superior/co-worker)",0,2,15,"Extremely liberal",NA,NA,NA,"Retired"
"1054","No",NA,NA,13,"Liberal",NA,"No","No","Retired"
"1055",NA,0,2,16,"Conservative","Agree",NA,NA,"Retired"
"1056","No",NA,NA,16,"Moderate",NA,NA,NA,"Working fulltime"
